folioviv,foliohog,numren,id_trabajo,tipoact,cose_cria,prep_deriv,otro_pago,fpago_1,fpago_2,fpago_3,fpago_4,fpago_5,fpago_6,fpago_7,fpago_8,nofpago,t_emp,h_emp,m_emp,t_cpago,h_cpago,m_cpago,t_ispago,h_ispago,m_ispago,t_nispago,h_nispago,m_nispago,valrema,valproc,apoyo,apoyo_1,apoyo_2,apoyo_3,apoyo_4,apoyo_5,apoyo_6,apoyo_7,apoyo_8,procampo,mesproc,progan,mesprogan,reg_not,reg_cont,ventas,autocons,otrosnom,gasneg,ventas_tri,auto_tri,otros_tri,gasto_tri,ing_tri,ero_tri
100317506,1,1,1,4,1, ,2, , , , , , , , ,6,1,1,0,1,1,0,0, , ,0, , , ,40000,2, , , , , , , , , , , , ,2,3,0,0,0,80000,0,0,0,19565.21,0,19563.26
100317506,1,1,1,5,1,2,2, , , , , , , , ,6,2,2,0,2,2,0,0, , ,0, , ,1000000, ,2, , , , , , , , , , , , ,2,3,500000,0,0,391000,122282.6,0,0,95624.99,26656.63,0
100961704,1,1,2,4,1, ,1, ,2, , , , , ,8, ,3,2,1,2,2,0,0, , ,1,0,1, , ,2, , , , , , , , , , , , ,2,3,0,0,0,50000,0,0,0,12295.08,0,12293.11
100961704,1,1,2,5,1,1,1, ,2, , , , , , , ,3,3,0,1,1,0,1,1,0,1,1,0,2230800,32500,2, , , , , , , , , , , , ,2,3,2669678,0,1000,336300,656478.19,0,245.9,82696.72,574025.9,0
101917906,1,1,2,7,1, ,2, , , , , , , , ,6,0, , , , , , , , , , , ,150,80,2, , , , , , , , , , , , ,2,3,60,0,0,100,14.67,0,0,24.45,0,8.8
101998619,1,1,1,4,1, ,2, , , , , , , , ,6,0, , , , , , , , , , , , ,5000,2, , , , , , , , , , , , ,2,4,0,0,0,1000,0,0,0,245.9,0,244.91
101998619,1,1,1,5,1,2,2, , , , , , , , ,6,0, , , , , , , , , , , ,6200,3000,2, , , , , , , , , , , , ,2,4,18000,0,0,200,4426.22,0,0,49.18,4376.06,0
101998802,1,1,2,5,1,2,2, , , , , , , , ,6,0, , , , , , , , , , , ,12000,6000,2, , , , , , , , , , , , ,2,4,30000,0,0,28250,7377.04,0,0,6946.72,427.86,0
102022605,1,1,1,4,1, ,2, , , , , , , , ,6,1,1,0,0, , ,1,1,0,0, , ,16000, ,2, , , , , , , , ,3500,8, , ,2,4,51250,0,0,65700,12602.45,0,0,16155.73,0,3552.78
102041503,1,1,2,5,1,2,2, , , , , , , , ,6,0, , , , , , , , , , , ,30000, ,2, , , , , , , , , , , , ,2,3,0,0,0,300,0,0,0,73.36,0,73.36
102110402,1,2,1,6,1, ,2, , , , , , , , ,1,0, , , , , , , , , , , , , ,2, , , , , , , , , , , , ,2,4,32970,780,0,1040,8063.31,190.76,0,254.34,7997.28,0
102126212,1,1,1,4,1, ,2, , , , , , , , ,7,0, , , , , , , , , , , , ,50,2, , , , , , , , , , , , ,2,4,400,500,0,318,99.44,124.3,0,79.06,143.2,0
102137224,1,1,1,4,1, ,2, , , , , , , , ,6,0, , , , , , , , , , , , ,40000,2, , , , , , , , ,7000,5, , ,2,4,0,9100,0,9540,0,2262.43,0,2371.82,0,107.4
102137224,1,1,1,5,1,2,2, , , , , , , , ,6,0, , , , , , , , , , , ,133000, ,2, , , , , , , , , , , , ,2,4,4500,3000,0,600,1118.78,745.85,0,149.17,1715.46,0
102171216,1,1,2,4,1, ,2, , , , , , , , ,1,3,1,2,0, , ,2,0,2,1,1,0, ,2000,2, , , , , , , , , , , , ,2,4,0,0,0,700,0,0,0,174.03,0,173.03
102171216,1,1,2,5,1,2,2, , , , , , , , ,1,3,1,2,0, , ,2,0,2,1,1,0,70000,35000,2, , , , , , , , , , , , ,2,4,0,0,0,200,0,0,0,49.72,0,47.73
102171520,2,1,2,4,1, ,2, , , , , , , , ,1,0, , , , , , , , , , , , ,8000,2, , , , , , , , , , , , ,2,4,0,0,0,2100,0,0,0,513.58,0,513.58
102171520,2,1,2,5,1,2,2, , , , , , , , ,1,0, , , , , , , , , , , , ,30000,2, , , , , , , , , , , , ,2,4,0,0,0,350,0,0,0,85.59,0,85.1
102171521,1,1,1,4,1, ,2, , , , , , , , ,1,0, , , , , , , , , , , ,4500, ,2, , , , , , , , ,6400,5, , ,2,4,0,7500,0,0,0,1834.23,0,0,1834.23,0
102186423,1,1,1,4,1, ,2, , , , , , , , ,6,0, , , , , , , , , , , , , ,2, , , , , , , , ,800,6, , ,2,4,35000,0,0,26660,8559.78,0,0,6520.1,2039.67,0
102186911,1,1,1,4,1, ,2, , , , , , , , ,6,0, , , , , , , , , , , , , ,2, , , , , , , , , , , , ,2,3,0,0,0,48000,0,0,0,11739.13,0,11739.13
102186911,1,1,1,5,1,1,2, , , , , , , , ,6,8,8,0,8,8,0,0, , ,0, , ,1504000, ,2, , , , , , , , , , , , ,2,3,2158400,0,0,593632,527869.56,0,0,145181.73,382686.84,0
102209824,1,1,1,5,1,1,2, , , , , , , , ,1,1,1,0,0, , ,0, , ,1,1,0,5000,5000,2, , , , , , , , , , , , ,2,4,47520,180,0,6340,11685.24,44.26,0,1559.01,10168.52,0
102239503,1,1,1,5,1,1,2, , , , , , , , ,6,0, , , , , , , , , , , ,234000,171000,2, , , , , , , , , , , , ,2,4,466980,17200,0,168130,114207.06,4206.52,0,41118.74,77293.36,0
102254318,1,1,1,5,1,2,2, , , , , , , , ,1,0, , , , , , , , , , , ,50000,9000,2, , , , , , , , , , , , ,2,4,0,0,0,46890,0,0,0,11467.66,0,11466.19
102254507,1,1,1,4,1, ,2, , , , , , , , ,1,0, , , , , , , , , , , , , ,2, , , , , , , , ,1500,6, , ,2,4,14000,0,0,12400,3423.91,0,0,3032.6,390.32,0
102338015,1,1,1,4,1, ,2, , , , , , , , ,6,2,2,0,0, , ,2,2,0,0, , , ,40000,2, , , , , , , , ,6100,10, , ,2,4,31802,1998,0,23752,7777.66,488.64,0,5808.91,2456.41,0
102338015,1,1,1,5,1,2,2, , , , , , , , ,6,2,2,0,0, , ,2,2,0,0, , ,23400,2400,2, , , , , , , , , , , , ,2,4,4680,0,0,4060,1144.56,0,0,992.93,149.67,0
102343702,1,1,2,5,1,2,2, , , , , , , , ,6,0, , , , , , , , , , , ,45000,50000,2, , , , , , , , , , , , ,2,4,15000,0,0,61680,3688.52,0,0,15167.21,0,11478.68
160006216,1,1,1,4,1, ,2, , , , , , , , ,6,3,3,0,3,3,0,0, , ,0, , , , ,2, , , , , , , , ,13000,7, , ,2,4,0,0,0,877600,0,0,0,218187.84,0,218186.85
160006216,1,1,1,5,1,1,2, , , , , , , , ,6,3,3,0,3,3,0,0, , ,0, , ,1240000,100000,2, , , , , , , , , , , , ,2,4,976220,0,0,432000,242706.62,0,0,107403.31,135301.32,0
160006520,1,1,2,5,1,2,2, , , , , , , , ,6,0, , , , , , , , , , , ,58000, ,2, , , , , , , , , , , , ,2,4,76000,0,0,36000,18586.95,0,0,8804.34,9781.63,0
160006524,1,7,1,4,1, ,2, , , , , , , , ,6,0, , , , , , , , , , , , , ,2, , , , , , , , , , , , ,2,4,0,0,0,9000,0,0,0,2201.08,0,2201.08
160006524,1,7,1,5,1,1,2, , , , , , , , ,6,0, , , , , , , , , , , ,35000,15000,2, , , , , , , , , , , , ,2,4,86124,3796,0,31200,21062.93,928.36,0,7630.43,14359.89,0
160006605,1,1,1,5,1,2,2, , , , , , , , ,6,2,1,1,2,1,1,0, , ,0, , ,9600, ,2, , , , , , , , , , , , ,2,4,0,0,0,12200,0,0,0,2999.99,0,2998.03
160006707,1,1,1,4,1, ,2, , , , , , , , ,6,2,2,0,2,2,0,0, , ,0, , , ,55000,1, , , , , , , , ,6400,8, , ,2,4,0,0,0,14000,0,0,0,3442.62,0,3440.65
160006707,1,1,1,5,1,1,2, , , , , , , , ,6,2,2,0,2,2,0,0, , ,0, , ,335000,132000,2, , , , , , , , , , , , ,2,4,464200,0,0,314200,114147.54,0,0,77262.29,36885.24,0
160019003,1,1,2,5,1,1,2, , , , , , , , ,6,0, , , , , , , , , , , ,5000,3500,2, , , , , , , , , , , , ,2,4,2100,0,0,3600,513.58,0,0,880.43,0,366.84
160019611,1,1,1,6,1, ,2, , , , , , , , ,6,0, , , , , , , , , , , , , ,2, , , , , , , , , , , , ,2,4,25680,0,0,1200,6314.75,0,0,295.08,6019.67,0
160028205,1,1,2,5,1,2,2, , , , , , , , ,6,0, , , , , , , , , , , ,6000, ,2, , , , , , , , , , , , ,2,4,3600,0,0,1000,895.02,0,0,248.61,644.41,0
160028921,1,2,1,5,1,2,2, , , , , , , , ,1,0, , , , , , , , , , , , ,12000,2, , , , , , , , , , , , ,2,4,8800,0,0,6000,2152.17,0,0,1467.39,683.8,0
160028922,1,2,1,5,1,2,2, , , , , , , , ,6,0, , , , , , , , , , , ,9000, ,2, , , , , , , , , , , , ,2,4,12000,0,0,5260,2934.78,0,0,1286.41,1646.41,0
160041018,2,1,1,4,1, ,2, , , , , , , , ,6,0, , , , , , , , , , , , , ,2, , , , , , , , , , , , ,2,4,0,0,0,0,0,0,0,0,0,0
160041018,2,1,1,5,1,1,2, , , , , , , , ,6,0, , , , , , , , , , , ,9000, ,2, , , , , , , , , , , , ,2,4,6480,0,0,1200,1584.78,0,0,293.47,1291.3,0
160041624,1,1,1,4,1, ,2, , , , , , , , ,6,1,1,0,1,1,0,0, , ,0, , ,2000,50000,2, , , , , , , , , , , , ,2,4,122200,2600,0,31800,30049.18,639.34,0,7819.67,22868.85,0
160041803,1,1,1,4,1, ,2, , , , , , , , ,1,0, , , , , , , , , , , , ,10000,2, , , , , , , , , , , , ,2,4,19800,200,0,20400,4868.85,49.18,0,5016.39,0,97.37
160060324,1,2,1,4,1, ,2, , , , , , , , ,6,2,2,0,2,2,0,0, , ,0, , ,33000,20000,2, , , , , , , , ,270,5, , ,2,3,105000,0,0,96000,25679.34,0,0,23478.26,2201.08,0
160067019,1,1,1,4,1, ,2, , , , , , , , ,1,1,1,0,0, , ,0, , ,1,1,0, ,1000,1, , , , , , , , ,5000,7, , ,2,4,0,0,0,15100,0,0,0,3692.93,0,3691.95
160067413,1,1,1,4,1, ,2, , , , , , , , ,6,1,1,0,0, , ,0, , ,1,1,0, ,34600,2, , , , , , , , ,3000,8, , ,2,4,13671,3825,0,2208,3343.45,935.46,0,539.99,3738.91,0
160067414,1,1,1,4,1, ,2, , , , , , , , ,6,3,2,1,3,2,1,0, , ,0, , , ,60000,2, , , , , , , , , , , , ,2,4,0,0,0,174200,0,0,0,42603.26,0,42601.3
160067414,1,1,1,5,1,1,2, , , , , , , , ,6,3,2,1,3,2,1,0, , ,0, , ,345000,92000,2, , , , , , , , , , , , ,2,4,278843,383,18000,114900,68195.29,93.66,4402.17,28100.54,44588.15,0
160067903,1,1,1,4,1, ,2, , , , , , , , ,1,2,2,0,1,1,0,1,1,0,0, , , ,4500,2, , , , , , , , , , , , ,2,4,125000,0,0,65000,30570.65,0,0,15896.73,14673.91,0
160077502,1,1,1,5,1,2,2, , , , , , , , ,6,0, , , , , , , , , , , ,4000,2000,2, , , , , , , , , , , , ,2,4,2000,0,0,1663,489.13,0,0,406.71,82.17,0
160077824,1,5,2,5,1,2,2, , , , , , , , ,6,0, , , , , , , , , , , , ,8000,2, , , , , , , , , , , , ,2,4,0,0,0,0,0,0,0,0,0,0
160083402,1,1,2,4,1, ,2, , , , , , , , ,6,0, , , , , , , , , , , , ,24000,2, , , , , , , , ,5200,8, , ,2,4,0,0,0,9500,0,0,0,2323.36,0,2321.41
160083404,1,1,2,4,1, ,2, , , , , , , , ,6,0, , , , , , , , , , , , ,17500,2, , , , , , , , ,2400,7, , ,2,4,9720,1300,0,9975,2377.17,317.93,0,2439.53,255.32,0
