folioviv,foliohog,clave,mes_1,mes_2,mes_3,mes_4,mes_5,mes_6,ero_1,ero_2,ero_3,ero_4,ero_5,ero_6,ero_tri
100013602,1,Q003,9,8,7,6,5,4,3000,3000,3000,3000,3000,3000,8852.45
100013602,1,Q001,9,8,7,6,5,4,20,0,0,0,0,0,9.83
100013603,1,Q004,10,9,8,7,6,5,5000,5000,5000,5000,5000,5000,14754.09
100013603,1,Q001,10,9,8,7,6,5,15000,20000,30000,20000,30000,20000,66393.44
100026701,1,Q003,9,8,7,6,5,4,5000,5000,5000,5000,5000,5000,14754.09
100026704,1,Q004,10,9,8,7,6,5,13000,13000,13000,13000,13000,13000,38360.65
100027202,1,Q007,7,6,5,4,3,2,200,200,200,200,200,200,596.68
100027202,1,Q004,7,6,5,4,3,2,2400,2400,2400,2400,2400,2400,7160.22
100027202,1,Q003,7,6,5,4,3,2,0,1850,0,0,0,0,919.88
100027202,1,Q006,7,6,5,4,3,2,685,0,0,0,0,0,340.6
100027205,1,Q003,7,6,5,4,3,2,2000,2000,2000,2000,2000,2000,5966.85
100045501,1,Q004,8,7,6,5,4,3,3500,3500,3500,3500,3500,3500,10271.73
100045502,1,Q004,8,7,6,5,4,3,7000,7000,7000,7000,7000,7000,20543.47
100054301,1,Q002,9,8,7,6,5,4,800,800,800,800,800,800,2347.82
100054303,1,Q001,9,8,7,6,5,4,2000,1500,2000,2000,1500,1500,5135.86
100054303,1,Q002,9,8,7,6,5,4,500,500,500,500,500,500,1467.39
100054305,1,Q002,9,8,7,6,5,4,600,600,600,600,600,600,1760.86
100058906,1,Q004,10,9,8,7,6,5,500,500,500,500,500,500,1467.39
100067401,1,Q005,8,7,6,5,4,3,164,205,164,0,0,0,260.7
100067401,1,Q004,8,7,6,5,4,3,1000,1250,1000,0,0,0,1589.67
100067401,1,Q001,8,7,6,5,4,3,120,120,120,0,0,0,176.08
100067402,1,Q003,8,7,6,5,4,3,10000,10000,10000,10000,10000,10000,29347.82
100067403,1,Q001,8,7,6,5,4,3,275,275,7275,275,275,275,4230.97
100067405,1,Q001,8,7,6,5,4,3,0,0,6000,2000,0,0,3913.04
100067406,1,Q015,8,7,6,5,4,3,4000,0,0,0,0,0,1956.52
100067406,1,Q010,8,7,6,5,4,3,0,200000,0,0,0,0,97826.08
100067406,1,Q011,8,7,6,5,4,3,6500,0,0,0,0,0,3179.34
100068902,1,Q004,10,9,8,7,6,5,1000,1250,1000,1000,1250,1000,3179.34
100069803,1,Q003,9,8,7,6,5,4,4000,3500,3000,3000,3000,3000,9590.16
100069803,1,Q001,9,8,7,6,5,4,3000,2000,3000,2000,3000,2000,7377.04
100069804,1,Q001,9,8,7,6,5,4,9000,8000,8000,7000,5000,5000,20655.73
100073402,1,Q001,8,7,6,5,4,3,2800,2800,2800,2800,2800,2800,8217.39
100073403,1,Q001,8,7,6,5,4,3,4500,4500,4500,0,0,0,6603.26
100073404,1,Q001,8,7,6,5,4,3,1500,2000,2000,0,0,0,2690.21
100074002,1,Q012,10,9,8,7,6,5,3000,0,0,0,0,0,1467.39
100074002,1,Q003,10,9,8,7,6,5,0,200,200,200,200,200,489.13
100074002,1,Q001,10,9,8,7,6,5,0,4000,4000,4000,4000,4000,9782.6
100074003,1,Q001,10,9,8,7,6,5,2400,3000,2400,2400,3000,2400,7630.43
100074003,1,Q004,10,9,8,7,6,5,615,615,0,0,0,0,601.63
