mes_dia,descripcion
0,No aplica
820,lunes 20 de agosto
821,martes 21 de agosto
822,miércoles 22 de agosto
823,jueves 23 de agosto
824,viernes 24 de agosto
825,sábado 25 de agosto
826,domingo 26 de agosto
830,jueves 30 de agosto
831,viernes 31 de agosto
901,sábado 1 de septiembre
902,domingo 2 de septiembre
903,lunes 3 de septiembre
904,martes 4 de septiembre
905,miércoles 5 de septiembre
909,domingo 9 de septiembre
910,lunes 10 de septiembre
911,martes 11 de septiembre
912,miércoles 12 de septiembre
913,jueves 13 de septiembre
914,viernes 14 de septiembre
915,sábado 15 de septiembre
919,miércoles 19 de septiembre
920,jueves 20 de septiembre
921,viernes 21 de septiembre
922,sábado 22 de septiembre
923,domingo 23 de septiembre
924,lunes 24 de septiembre
925,martes 25 de septiembre
929,sábado 29 de septiembre
930,domingo 30 de septiembre
1001,lunes 1 de octubre
1002,martes 2 de octubre
1003,miércoles 3 de octubre
1004,jueves 4 de octubre
1005,viernes 5 de octubre
1009,martes 9 de octubre
1010,miércoles 10 de octubre
1011,jueves 11 de octubre
1012,viernes 12 de octubre
1013,sábado 13 de octubre
1014,domingo 14 de octubre
1015,lunes 15 de octubre
1019,viernes 19 de octubre
1020,sábado 20 de octubre
1021,domingo 21 de octubre
1022,lunes 22 de octubre
1023,martes 23 de octubre
1024,miércoles 24 de octubre
1025,jueves 25 de octubre
1029,lunes 29 de octubre
1030,martes 30 de octubre
1031,miércoles 31 de octubre
1101,jueves 1 de noviembre
1102,viernes 2 de noviembre
1103,sábado 3 de noviembre
1104,domingo 4 de noviembre
1108,jueves 8 de noviembre
1109,viernes 9 de noviembre
1110,sábado 10 de noviembre
1111,domingo 11 de noviembre
1112,lunes 12 de noviembre
1113,martes 13 de noviembre
1114,miércoles 14 de noviembre
