gastoscontarjeta,descripcion
TB01,"Alimentos, bebidas y tabaco"
TB02,Artículos o servicios destinados a la limpieza y cuidados de la casa
TB03,Artículos o servicios destinados a cuidados personales
TB04,"Artículos o servicios destinados a educación, cultura y recreación"
TB05,Artículos o servicios destinados a la comunicación y servicios para vehículos
TB06,Artículos o servicios destinados a vivienda y servicios de conservación
TB07,Último recibo pagado
TB08,"Prendas de vestir, calzado y accesorios"
TB09,"Cristalería, blancos y utensilios domésticos"
TB10,Artículos o servicios destinados a cuidados de la salud
TB11,Enseres domésticos y mantenimiento de la vivienda
TB12,Artículos de esparcimiento
TB13,Artículos o servicios destinados al transporte
TB14,Gastos diversos
TB15,Erogaciones financieras y de capital
TR01,"Alimentos, bebidas y tabaco "
TR02,Artículos o servicios destinados a la limpieza y cuidados de la casa
TR03,Artículos o servicios destinados a cuidados personales
TR04,"Artículos o servicios destinados a educación, cultura y recreación"
TR05,Artículos o servicios destinados a la comunicación y servicios para vehículos
TR06,Artículos o servicios destinados a vivienda y servicios de conservación
TR07,Último recibo pagado
TR08,"Prendas de vestir, calzado y accesorios"
TR09,"Cristalería, blancos y utensilios domésticos"
TR10,Artículos o servicios destinados a cuidados de la salud 
TR11,Enseres domésticos y mantenimiento de la vivienda
TR12,Artículos de esparcimiento
TR13,Artículos o servicios destinados al transporte
TR14,Gastos diversos
TR15,Erogaciones financieras y de capital
