folioviv,foliohog,clave,gasto,pago_mp,gasto_tri
100013602,1,TB04,860, ,2580
100013602,1,TB14,18000,3000,8852.45
100013602,1,TB03,124, ,372
100013602,1,TB01,1000, ,3000
100013602,1,TB02,97, ,291
100013603,1,TB01,500, ,1500
100027202,1,TB09,1800,0,1760.86
100027205,1,TB05,1400, ,4064.51
100045501,1,TB08,507,507,495.97
100067402,1,TB13,3800,0,1858.69
100067402,1,TB08,1560,0,1526.08
100067402,1,TB03,1189, ,3451.93
100067402,1,TB01,5000, ,14516.12
100067402,1,TB05,1600, ,4645.16
100067406,1,TB08,500,0,489.13
100069803,1,TB13,1200,0,590.16
100069803,1,TB12,500,0,245.9
100069803,1,TB05,2000, ,6000
100069803,1,TB03,1040, ,3120
100069803,1,TB01,2500, ,7500
100084705,1,TB03,1436, ,4308
100084705,1,TB02,1199, ,3597
100170501,1,TB13,11500,0,5624.99
100170501,1,TB11,4800,0,2347.82
100170501,1,TB14,21500,0,10516.3
100170501,1,TB05,700, ,2032.25
100170501,1,TB04,2400, ,6967.74
100170501,1,TB03,245, ,711.29
100170501,1,TB02,27, ,78.38
100170501,1,TB01,6000, ,17419.35
100170502,1,TB10,859,424,840.32
100170502,1,TB11,199,0,97.33
100170502,1,TB12,1179,0,576.68
100170502,1,TB13,3456,2456,1690.43
100170502,1,TB14,5026,171,2458.36
100170502,1,TR01,500, ,1451.61
100170502,1,TB01,2900, ,8419.35
100170502,1,TB08,1749,1240,1710.97
100170502,1,TB05,2500, ,7258.06
100170502,1,TB04,3924, ,11392.25
100170502,1,TB03,529, ,1535.8
100170502,1,TB02,161, ,467.41
100170502,1,TR12,1179,0,576.68
100211003,1,TB04,1200, ,3483.87
100211003,1,TR08,1286,1286,1258.04
100211003,1,TB11,870,290,425.54
100211003,1,TB05,800, ,2322.58
100215603,2,TB12,2000,500,983.6
100215604,1,TB08,480,480,469.56
100215606,1,TB11,1000,0,491.8
100215606,1,TB08,280,0,273.91
100215606,1,TB07,300, ,900
100215606,1,TB02,700, ,2100
100215606,1,TB01,1000, ,3000
100215606,1,TB03,100, ,300
100295601,1,TB08,2080,2080,2034.78
100295603,1,TB04,1900, ,5700
100295603,1,TB08,3500,3500,3423.91
100298202,1,TB05,2000, ,5806.45
100298205,1,TB01,5000, ,14516.12
100298205,1,TB02,509, ,1477.74
100298205,1,TB03,844, ,2450.32
100298205,1,TB05,4000, ,11612.9
100298205,1,TB07,280, ,812.9
100298205,1,TB11,1000,1000,497.23
100298205,1,TB09,4500,4500,4402.17
100298205,1,TB10,3520,0,3443.47
100298205,1,TR08,450,0,440.21
100298205,1,TB08,3950,0,3864.13
100298205,1,TB14,11600,11600,5767.95
100298206,1,TB07,420, ,1219.35
100298206,1,TB01,5000, ,14516.12
100310806,1,TB08,400,250,391.3
100310806,1,TR08,300,150,293.47
100317502,1,TB08,2772,0,2711.73
100374901,1,TB07,3830, ,11119.35
100374905,1,TB07,250, ,725.8
100414202,1,TB02,90, ,261.29
100414202,1,TB03,180, ,522.58
100443402,1,TB02,298, ,865.16
100443402,1,TB03,144, ,418.06
100474801,1,TB08,2200,1200,2152.17
100474801,1,TB11,1200,1200,590.16
100474806,1,TB09,5000,0,4891.3
100502402,1,TB03,490, ,1422.58
100502402,1,TB04,4000, ,11612.9
100502402,1,TB02,530, ,1538.7
100502403,1,TB03,370, ,1074.19
100502403,1,TB02,580, ,1683.87
100502403,1,TB01,800, ,2322.58
100502403,1,TB13,10000,10000,4891.3
100502404,1,TB03,1355, ,3933.87
100502404,1,TB02,1710, ,4964.51
100502404,1,TB01,2500, ,7258.06
100504001,1,TB10,1108,1108,1083.91
100504003,1,TB13,6400,0,3130.43
100504003,1,TB11,11450,0,5600.54
100504003,1,TB10,4700,700,4597.82
100504003,1,TB08,9030,530,8833.69
100504003,1,TB05,1800, ,5225.8
100504003,1,TB04,2200, ,6387.09
100504003,1,TB03,544, ,1579.35
100504003,1,TB02,680, ,1974.19
100504003,1,TB01,706, ,2049.67
100524205,1,TB03,45, ,130.64
100534303,1,TB11,6500,0,3179.34
100590704,1,TB08,340,340,332.6
100590704,1,TR01,300, ,900
100592204,1,TB01,450, ,1306.45
100592204,1,TB05,2000, ,5806.45
